interview_id,application_id,interview_date,interview_type,interview_round,interview_status,interview_score
125,368,2025-11-07,Managerial,2,Passed,85.76
126,375,2025-08-07,Managerial,3,Failed,56.95
127,376,2025-08-27,Technical,3,Passed,65.22
128,377,2025-06-26,Technical,1,Passed,74.39
129,378,2025-09-24,Managerial,3,Passed,91.63
130,385,2025-02-20,Technical,2,Passed,48.7
131,389,2025-04-15,HR,2,Passed,48.19
132,392,2025-09-07,HR,1,Passed,97.93
133,397,2025-08-01,Case Study,2,Failed,54.74
134,404,2025-10-12,Case Study,1,Passed,78.19
135,406,2025-02-04,Case Study,1,Passed,51.29
136,407,2025-07-08,Case Study,2,Failed,76.37
137,415,2025-11-25,Case Study,1,Passed,58.66
138,416,2025-01-16,HR,1,Passed,85.15
139,418,2025-09-24,Managerial,3,Failed,66.23
140,420,2025-10-08,Case Study,2,Passed,96.33
141,422,2025-12-12,Managerial,3,Passed,97.63
142,431,2025-04-18,HR,3,Passed,93.9
143,432,2025-06-13,HR,1,Passed,57.64
144,435,2025-03-15,Case Study,1,Passed,40.13
145,442,2026-01-04,HR,2,Passed,56.04
146,444,2025-03-04,Managerial,2,Passed,70.05
147,445,2025-05-04,HR,3,Passed,45.14
148,450,2025-01-23,Managerial,2,Passed,50.0
149,451,2025-09-22,Managerial,2,Failed,68.65
150,454,2025-05-23,Case Study,3,Passed,75.42
151,455,2025-05-15,Managerial,2,Passed,67.43
152,459,2025-03-20,Technical,3,Passed,64.96
153,460,2025-06-05,Technical,2,Passed,68.71
154,463,2025-08-11,Case Study,3,Passed,87.02
155,465,2025-12-24,Managerial,2,Passed,62.02
156,469,2025-03-26,Technical,1,Passed,75.12
157,473,2025-11-05,Case Study,2,Passed,84.47
158,475,2025-01-19,HR,2,Passed,81.67
159,480,2025-11-17,HR,1,Passed,55.36
160,487,2025-10-01,HR,2,Passed,71.05
161,489,2025-10-04,Technical,3,Failed,44.1
162,490,2025-10-24,Case Study,1,Passed,54.38
163,500,2025-12-12,Technical,2,Passed,98.41
164,502,2025-09-05,HR,2,Passed,45.7
165,516,2025-03-03,Case Study,1,Passed,41.18
166,518,2025-04-19,HR,1,Passed,92.91
167,522,2025-05-08,HR,3,Passed,49.22
168,524,2025-12-19,Case Study,1,Failed,58.7
169,526,2025-02-27,Managerial,1,Passed,76.48
170,527,2025-04-04,Case Study,1,Passed,88.64
171,529,2025-09-18,HR,3,Passed,46.53
172,532,2025-04-27,Case Study,1,Passed,45.73
173,535,2025-09-04,Managerial,3,Passed,63.06
174,538,2025-05-09,Technical,3,Passed,49.67
175,539,2025-12-05,Technical,2,Failed,64.33
176,544,2025-10-21,Managerial,1,Failed,82.8
177,546,2025-03-21,Case Study,3,Passed,84.46
178,548,2025-09-16,Managerial,2,Passed,62.87
179,550,2025-08-31,Case Study,3,Passed,99.14
180,551,2025-03-13,Managerial,1,Failed,55.5
181,553,2025-11-18,Technical,1,Failed,63.93
182,554,2025-04-12,HR,2,Passed,54.49
183,556,2025-08-07,Technical,3,Passed,53.88
184,558,2025-12-23,Managerial,3,Passed,94.18
185,561,2025-08-24,HR,2,Passed,85.93
186,562,2025-11-29,Managerial,2,Passed,52.57
187,564,2025-04-02,Case Study,1,Passed,40.15
188,566,2026-01-10,Managerial,3,Passed,98.02
189,568,2025-09-29,HR,2,Failed,99.11
190,572,2025-03-31,Technical,2,Passed,55.59
191,576,2025-04-05,Managerial,2,Passed,43.89
192,578,2025-04-02,Managerial,2,Failed,92.28
193,583,2025-06-02,Case Study,2,Passed,85.25
194,586,2025-03-11,Managerial,1,Passed,75.71
195,589,2025-03-12,Managerial,1,Failed,41.57
196,594,2025-07-16,Managerial,3,Passed,67.78
197,600,2026-01-03,Case Study,1,Failed,60.02
198,601,2026-01-11,Technical,3,Passed,99.93
199,602,2025-08-20,Managerial,3,Failed,57.21
200,604,2025-06-14,Technical,3,Failed,64.0
201,611,2025-10-04,HR,3,Passed,97.09
202,613,2025-09-25,Managerial,2,Failed,95.03
203,614,2025-03-25,Managerial,2,Failed,94.97
204,617,2025-07-03,HR,3,Passed,85.66
205,618,2025-08-30,Managerial,3,Failed,82.15
206,621,2025-03-08,Managerial,3,Failed,61.06
207,622,2025-02-24,Case Study,2,Failed,68.69
208,625,2025-12-31,Managerial,3,Passed,41.58
209,626,2025-08-31,Managerial,3,Failed,50.27
210,630,2025-04-15,Case Study,2,Passed,69.67
211,643,2025-10-27,HR,3,Passed,95.72
212,649,2025-11-22,Technical,3,Passed,81.1
213,650,2025-07-20,Managerial,2,Passed,91.54
214,655,2025-04-03,Technical,2,Passed,77.31
215,656,2025-02-10,Technical,2,Failed,89.49
216,658,2025-12-30,Technical,2,Passed,76.01
217,659,2025-07-20,HR,2,Failed,88.76
218,660,2025-08-02,Managerial,1,Passed,42.29
219,666,2025-08-17,HR,2,Failed,52.13
220,667,2025-08-07,HR,3,Failed,66.44
221,669,2025-08-20,Managerial,1,Passed,99.65
222,670,2025-08-02,Managerial,3,Failed,83.31
223,671,2025-11-04,HR,3,Passed,56.71
224,674,2025-09-28,Technical,1,Passed,93.22
225,677,2025-06-09,Technical,2,Passed,92.41
226,681,2025-07-22,HR,3,Passed,92.88
227,682,2025-03-15,Managerial,3,Passed,79.35
228,684,2025-12-12,Case Study,2,Failed,69.75
229,687,2025-12-15,Technical,3,Passed,67.21
230,691,2025-09-30,Case Study,3,Failed,70.06
231,696,2025-07-25,Technical,1,Failed,72.5
232,700,2025-03-27,Case Study,1,Passed,61.88
233,702,2025-02-11,Managerial,1,Failed,94.04
234,710,2025-09-15,HR,1,Passed,79.15
235,715,2025-03-04,Managerial,2,Passed,77.96
236,717,2026-01-21,Technical,3,Passed,75.46
237,719,2025-12-28,Technical,2,Failed,98.88
238,720,2025-11-01,Managerial,2,Passed,43.42
239,721,2025-03-25,Technical,3,Passed,71.51
240,726,2025-07-12,HR,3,Passed,96.06
241,729,2025-06-25,HR,3,Failed,85.05
242,733,2026-01-09,Case Study,1,Passed,74.49
243,735,2025-06-15,HR,2,Passed,77.62
244,736,2025-06-06,HR,3,Failed,83.85
245,738,2025-07-18,Technical,3,Passed,69.96
246,739,2026-01-08,Technical,2,Failed,88.51
247,742,2025-12-16,Technical,2,Passed,44.34
248,743,2025-05-15,HR,2,Failed,95.12
249,749,2025-07-24,Managerial,3,Passed,80.83
250,755,2025-09-14,Technical,2,Passed,88.17
251,759,2025-08-23,Technical,3,Failed,40.72
252,763,2025-08-17,Case Study,3,Failed,44.64
253,767,2025-12-04,Case Study,2,Passed,44.44
254,769,2025-02-09,Technical,1,Failed,70.59
255,773,2025-03-09,Case Study,2,Failed,70.09
256,776,2025-10-16,Case Study,3,Passed,87.55
257,777,2026-01-12,Managerial,1,Failed,45.04
258,784,2025-08-30,Case Study,3,Failed,83.04
259,789,2025-12-18,Technical,3,Passed,77.21
260,793,2025-01-30,Case Study,3,Passed,53.11
261,794,2025-08-08,HR,3,Passed,61.84
262,800,2025-07-16,Case Study,1,Failed,72.57
263,804,2025-07-09,Technical,1,Passed,48.26
264,808,2025-02-19,Managerial,1,Failed,53.0
265,810,2025-02-03,Technical,3,Passed,68.7
266,815,2025-10-27,HR,2,Passed,95.88
267,816,2025-03-20,Managerial,2,Passed,63.72
268,818,2025-04-28,Technical,2,Failed,58.68
269,819,2025-12-24,Managerial,1,Failed,93.68
270,823,2025-09-19,Managerial,1,Passed,53.18
271,827,2025-08-22,Managerial,2,Passed,87.02
272,830,2025-06-19,Case Study,2,Passed,93.61
273,831,2025-03-06,HR,3,Failed,64.86
274,834,2025-12-03,Technical,1,Passed,86.01
275,835,2025-11-08,HR,1,Passed,87.54
276,840,2025-04-21,Case Study,1,Failed,62.97
277,843,2025-09-03,Managerial,3,Passed,89.48
278,844,2025-05-17,Case Study,3,Failed,57.26
279,847,2025-08-15,HR,1,Passed,57.71
280,849,2025-02-23,Case Study,1,Failed,69.45
281,851,2025-02-12,HR,2,Passed,64.03
282,854,2025-05-01,Technical,3,Passed,46.36
283,856,2025-02-03,Technical,3,Passed,94.07
284,857,2025-10-26,Case Study,3,Failed,47.72
285,859,2025-02-04,Technical,2,Passed,57.03
286,864,2025-07-12,HR,3,Passed,55.75
287,867,2025-06-15,HR,2,Failed,98.39
288,870,2025-11-07,Case Study,1,Failed,94.84
289,875,2026-01-01,Technical,3,Passed,52.74
290,884,2025-09-18,Case Study,1,Passed,73.31
291,885,2025-02-24,HR,1,Passed,76.71
292,888,2025-12-29,Technical,3,Failed,54.57
293,889,2025-08-21,HR,2,Passed,79.97
294,894,2025-07-05,Case Study,1,Passed,58.3
295,895,2026-01-10,Managerial,3,Passed,62.57
296,900,2025-12-03,Managerial,3,Failed,67.08
297,902,2025-02-04,Technical,3,Failed,83.73
298,904,2025-04-19,Case Study,2,Passed,54.33
299,906,2025-07-20,Case Study,1,Failed,83.94
300,909,2025-11-14,Case Study,3,Failed,41.43
301,913,2026-01-19,Technical,1,Passed,81.68
302,917,2025-03-18,Case Study,2,Passed,45.68
303,919,2025-04-24,Technical,3,Passed,70.63
304,920,2025-12-13,Case Study,1,Passed,62.69
305,927,2025-12-26,HR,1,Passed,74.61
306,931,2025-10-04,Technical,2,Passed,58.79
307,935,2025-12-05,Managerial,2,Passed,73.38
308,937,2025-10-15,Technical,2,Failed,63.67
309,941,2025-03-12,HR,1,Passed,83.26
310,942,2025-05-09,Case Study,3,Passed,75.05
311,944,2025-04-27,Case Study,1,Passed,45.5
312,945,2025-10-29,Technical,1,Passed,85.55
313,946,2025-10-22,Case Study,1,Passed,98.9
314,948,2025-09-07,Technical,2,Passed,44.54
315,952,2025-05-11,Managerial,2,Passed,85.94
316,954,2025-01-30,HR,1,Passed,42.9
317,955,2026-01-14,Managerial,1,Passed,84.01
318,958,2026-01-21,Technical,2,Passed,57.66
319,959,2025-02-09,Technical,2,Passed,57.51
320,961,2025-04-27,HR,1,Failed,72.27
321,963,2025-12-25,Case Study,1,Failed,52.13
322,964,2026-01-15,Technical,1,Passed,43.31
323,965,2025-10-11,Managerial,3,Passed,65.8
324,972,2025-10-24,Managerial,2,Failed,72.38
325,981,2025-01-12,HR,2,Passed,83.47
326,985,2025-05-22,Technical,1,Failed,57.74
327,990,2025-04-09,Managerial,1,Passed,78.2
328,997,2025-04-22,Managerial,1,Failed,50.57
329,999,2025-04-18,Technical,1,Passed,69.66
330,1000,2025-07-28,Managerial,3,Passed,75.5
331,1004,2025-08-08,HR,3,Passed,89.73
332,1005,2025-03-23,Managerial,2,Failed,55.29
333,1011,2025-12-14,Managerial,2,Passed,47.0
334,1013,2025-08-24,Managerial,3,Passed,57.61
335,1017,2025-11-17,HR,2,Passed,98.98
336,1023,2025-08-15,Case Study,1,Passed,61.54
337,1030,2025-05-08,Case Study,1,Failed,97.12
338,1032,2026-01-03,Managerial,3,Failed,49.66
339,1037,2025-09-08,Managerial,1,Passed,96.96
340,1038,2025-03-08,Case Study,3,Passed,70.82
341,1042,2025-08-28,HR,1,Passed,84.83
342,1043,2025-04-26,Managerial,2,Passed,77.88
343,1048,2025-10-22,Technical,2,Failed,56.95
344,1051,2025-12-22,Technical,1,Failed,43.55
345,1053,2025-08-29,Case Study,3,Passed,76.69
346,1054,2025-12-02,Technical,2,Failed,93.29
347,1056,2025-12-16,HR,1,Failed,68.16
348,1057,2025-06-10,Managerial,1,Passed,55.43
349,1063,2025-06-09,Case Study,3,Passed,79.58
350,1066,2025-08-10,Technical,3,Failed,72.29
351,1067,2025-06-12,Managerial,1,Passed,55.29
352,1068,2025-04-26,HR,3,Failed,52.83
353,1069,2025-12-26,Case Study,2,Passed,98.29
354,1075,2025-06-20,Technical,1,Failed,71.43
355,1080,2025-08-11,Case Study,2,Failed,84.52
356,1084,2025-05-15,HR,1,Passed,90.05
357,1086,2026-01-04,Managerial,3,Failed,46.53
358,1090,2025-09-22,Managerial,3,Failed,83.5
359,1091,2025-03-28,Technical,1,Passed,57.41
360,1092,2025-11-03,Technical,2,Passed,97.08
361,1093,2025-08-03,Managerial,1,Failed,75.23
362,1094,2025-05-04,Managerial,1,Passed,66.5
363,1098,2025-03-10,HR,3,Passed,81.0
364,1102,2025-06-23,Case Study,2,Passed,84.08
365,1104,2025-04-10,Case Study,1,Passed,69.54
366,1109,2025-06-18,Case Study,2,Passed,83.52
367,1110,2025-05-05,Technical,3,Failed,47.63
368,1113,2025-09-05,Technical,2,Passed,67.14
369,1114,2025-04-22,Technical,1,Passed,51.62
370,1115,2025-10-30,HR,3,Passed,52.87
371,1119,2025-12-16,Technical,2,Failed,42.8
372,1120,2025-12-30,Case Study,3,Passed,57.84
373,1122,2025-10-12,Case Study,2,Passed,86.4
374,1123,2025-09-12,Managerial,1,Passed,45.96
375,1126,2025-02-19,Technical,3,Passed,98.32
376,1128,2025-11-01,Technical,3,Passed,40.84
377,1132,2025-04-29,Case Study,3,Passed,65.47
378,1137,2025-11-01,Technical,3,Passed,99.57
379,1144,2025-09-21,Managerial,3,Failed,87.99
380,1145,2025-11-30,Managerial,3,Passed,43.96
381,1152,2025-10-09,Case Study,1,Passed,83.93
382,1157,2025-01-17,Technical,2,Passed,44.89
383,1159,2025-01-13,Technical,1,Failed,55.94
384,1160,2025-05-05,Technical,3,Passed,40.29
385,1161,2025-11-06,HR,3,Failed,93.19
386,1169,2025-06-12,Case Study,1,Passed,89.68
387,1171,2025-05-19,Managerial,1,Passed,95.88
388,1172,2025-06-22,Managerial,3,Passed,90.72
389,1177,2025-08-29,Technical,1,Passed,97.15
390,1181,2025-11-02,Managerial,3,Failed,79.89
391,1184,2025-08-09,HR,2,Passed,68.94
392,1186,2026-01-19,Technical,3,Passed,41.76
393,1187,2025-03-06,HR,2,Failed,81.72
394,1189,2025-04-29,HR,2,Passed,64.25
395,1191,2025-10-12,HR,2,Passed,85.66
396,1195,2025-01-24,HR,2,Passed,42.33
397,1196,2025-07-16,Managerial,3,Failed,84.12
398,1205,2025-01-31,Managerial,3,Passed,52.7
399,1208,2025-01-30,Case Study,3,Passed,59.48
400,1220,2025-12-01,Technical,3,Failed,63.06
401,1221,2025-12-27,Technical,3,Failed,96.15
402,1224,2025-12-18,Technical,3,Passed,56.34
403,1225,2025-06-13,Managerial,1,Failed,71.68
404,1226,2025-06-10,Technical,2,Passed,60.07
405,1232,2025-06-28,Case Study,3,Failed,95.27
406,1233,2025-01-26,Technical,2,Passed,41.76
407,1234,2025-10-31,Managerial,3,Failed,83.18
408,1237,2025-01-12,Case Study,2,Passed,94.46
409,1246,2025-06-07,HR,3,Passed,87.46
410,1248,2025-07-02,Managerial,2,Failed,47.48
411,1253,2025-04-11,HR,2,Failed,56.09
412,1258,2025-10-20,Technical,2,Failed,50.16
413,1264,2025-06-19,Case Study,2,Failed,65.31
414,1267,2025-12-03,Case Study,2,Passed,83.61
415,1272,2025-04-19,Managerial,2,Failed,50.15
416,1274,2025-12-14,Technical,1,Failed,59.55
417,1276,2025-04-06,Managerial,2,Failed,57.11
418,1278,2025-12-15,Case Study,1,Failed,94.13
419,1279,2025-06-19,Managerial,1,Passed,87.34
420,1283,2026-01-07,Case Study,2,Passed,53.48
421,1285,2025-02-01,Technical,2,Passed,71.05
422,1286,2025-12-14,Managerial,1,Passed,52.3
423,1289,2025-03-14,Case Study,1,Passed,82.64
424,1290,2025-11-15,Managerial,2,Failed,53.45
425,1294,2025-03-09,Managerial,3,Failed,77.1
426,1299,2025-12-03,HR,3,Passed,95.16
427,1302,2025-11-10,Technical,2,Passed,58.09
428,1305,2026-01-09,HR,1,Passed,98.84
429,1308,2025-11-26,Technical,1,Passed,48.53
430,1315,2025-02-25,HR,2,Passed,77.96
431,1319,2025-06-10,Technical,2,Failed,85.77
432,1322,2025-11-29,Managerial,2,Passed,58.9
433,1323,2025-03-19,Case Study,3,Passed,50.34
434,1328,2025-04-22,Managerial,2,Failed,50.34
435,1335,2025-10-17,Managerial,1,Failed,60.81
436,1336,2025-06-17,Technical,1,Failed,88.92
437,1348,2025-03-05,HR,2,Passed,60.8
438,1350,2025-04-06,Case Study,2,Passed,79.69
439,1351,2025-10-23,Case Study,2,Passed,52.21
440,1352,2025-01-14,Technical,2,Failed,98.11
441,1355,2025-03-29,Managerial,1,Passed,45.78
442,1357,2025-12-17,Case Study,1,Failed,97.97
443,1360,2025-08-03,Case Study,2,Passed,96.32
444,1366,2025-12-25,Case Study,3,Failed,67.79
445,1368,2026-01-03,Technical,2,Failed,86.27
446,1370,2025-12-30,HR,1,Passed,92.53
447,1376,2025-05-20,Managerial,3,Passed,80.21
448,1377,2025-03-31,Case Study,2,Passed,83.13
449,1378,2025-05-10,HR,3,Passed,45.08
450,1383,2025-01-24,Technical,3,Passed,65.78
451,1386,2025-10-15,Technical,3,Failed,56.78
452,1390,2025-01-17,Case Study,3,Failed,84.44
453,1392,2025-01-26,Case Study,3,Failed,50.26
454,1393,2025-07-15,Technical,3,Failed,68.0
455,1396,2025-10-02,Managerial,2,Passed,87.89
456,1397,2025-03-27,Case Study,1,Passed,92.56
457,1399,2025-02-01,Managerial,3,Passed,53.89
458,1402,2025-01-18,Case Study,3,Passed,81.82
459,1411,2025-07-06,HR,1,Failed,57.13
460,1412,2025-04-13,Technical,1,Passed,71.89
461,1415,2025-01-28,Technical,1,Failed,57.6
462,1420,2025-03-31,Case Study,3,Passed,45.19
463,1421,2025-06-28,Case Study,2,Failed,82.32
464,1430,2025-12-02,Managerial,1,Passed,51.79
465,1431,2025-04-08,Case Study,3,Failed,71.67
466,1452,2025-09-12,Managerial,2,Passed,43.61
467,1453,2025-04-13,Case Study,2,Failed,67.38
468,1454,2025-10-13,Case Study,1,Passed,65.14
469,1458,2025-04-24,Technical,2,Failed,78.38
470,1462,2025-06-11,Technical,1,Passed,65.42
471,1470,2025-06-29,Case Study,2,Failed,79.69
472,1471,2026-01-03,Managerial,1,Failed,41.44
473,1474,2025-02-25,Case Study,1,Passed,48.82
474,1478,2025-04-26,Technical,2,Failed,68.56
475,1483,2025-10-18,Managerial,3,Passed,91.13
476,1486,2025-04-13,HR,2,Failed,45.04
477,1494,2025-05-13,HR,3,Passed,66.97
478,1499,2025-12-26,Managerial,2,Passed,74.64
479,1501,2025-03-25,HR,1,Passed,89.93
480,1502,2025-10-08,Case Study,1,Failed,66.02
481,1503,2025-06-11,Managerial,2,Failed,91.37
482,1505,2025-01-22,Managerial,3,Passed,51.99
483,1510,2025-08-17,Technical,2,Passed,66.13
484,1521,2025-09-17,HR,3,Passed,86.19
485,1528,2025-03-31,Managerial,1,Passed,87.77
486,1533,2025-07-14,Technical,3,Passed,77.21
487,1536,2025-08-19,Managerial,2,Passed,44.79
488,1540,2025-03-24,HR,1,Passed,52.52
489,1547,2025-07-04,Managerial,3,Passed,64.07
490,1557,2025-11-06,Case Study,3,Passed,64.87
491,1561,2025-04-16,Technical,1,Passed,47.27
492,1562,2025-10-15,Technical,3,Failed,42.26
493,1564,2025-07-02,HR,1,Failed,92.4
494,1566,2025-12-26,Managerial,2,Failed,92.42
495,1569,2025-12-30,Case Study,2,Failed,75.8
496,1575,2025-06-22,Technical,1,Failed,59.84
497,1577,2025-11-24,Case Study,2,Passed,47.48
498,1579,2025-10-16,HR,3,Passed,90.99
499,1582,2025-12-12,Managerial,1,Passed,41.1
500,1592,2025-04-30,HR,2,Failed,59.94
501,1597,2025-05-22,Case Study,1,Passed,55.56
502,1598,2025-05-09,Managerial,2,Passed,45.94
503,1602,2025-07-12,Technical,1,Failed,54.87
504,1603,2025-09-16,Technical,2,Failed,53.53
505,1604,2025-09-17,Managerial,1,Failed,71.36
506,1606,2025-02-21,HR,2,Passed,58.32
507,1608,2025-11-06,Managerial,3,Passed,76.06
508,1610,2025-07-16,HR,3,Passed,76.41
509,1615,2025-06-17,Case Study,3,Passed,54.47
510,1617,2025-02-22,Case Study,3,Passed,52.9
511,1622,2025-07-14,Case Study,1,Failed,57.61
512,1623,2025-08-23,HR,1,Failed,93.4
513,1626,2025-01-29,Managerial,2,Passed,58.83
514,1628,2025-07-07,HR,3,Passed,64.38
515,1631,2026-01-14,HR,3,Passed,69.72
516,1632,2025-06-29,Technical,1,Passed,57.98
517,1635,2025-02-14,Managerial,1,Passed,59.24
518,1636,2025-05-11,HR,3,Passed,44.76
519,1637,2025-10-25,Managerial,1,Passed,65.97
520,1639,2025-10-04,Case Study,1,Passed,58.92
521,1640,2025-10-18,Case Study,2,Passed,43.33
522,1644,2026-01-06,Managerial,2,Failed,90.58
523,1652,2025-12-19,Technical,2,Passed,52.75
524,1656,2025-07-29,HR,2,Passed,52.59
525,1658,2025-06-15,Case Study,3,Passed,40.13
526,1659,2026-01-05,HR,1,Failed,89.63
527,1661,2025-09-05,Managerial,1,Failed,55.71
528,1671,2025-08-19,HR,2,Passed,74.95
529,1672,2026-01-10,Technical,3,Passed,79.61
530,1673,2025-12-25,Technical,2,Passed,66.7
531,1675,2025-10-20,Case Study,1,Failed,63.7
532,1678,2025-04-11,HR,3,Passed,89.17
533,1691,2025-05-12,Case Study,2,Passed,56.59
534,1704,2025-11-17,HR,2,Passed,78.54
535,1705,2025-03-08,Managerial,3,Passed,92.26
536,1707,2025-10-03,HR,1,Passed,54.23
537,1714,2026-01-07,Technical,2,Failed,48.99
538,1722,2025-11-15,Technical,3,Passed,72.1
539,1723,2025-07-30,HR,2,Passed,94.54
540,1738,2025-08-01,Case Study,3,Passed,98.41
541,1742,2025-05-06,Technical,1,Passed,65.72
